user_id,upgraded,upgrade_date,days_to_upgrade,signup_date,last_active_date,days_alive,num_sessions,avg_session_length_minutes,total_session_length_minutes,avg_days_between_sessions,num_repeated_session_days,days_first_feature_after_signup,first_feature_used,last_feature_used,using_top_features,num_top_feature_sessions,features_before_upgrade,features_after_upgrade,num_repeated_features,days_since_last_activity,pred_churn_90,actual_cancelled,last_active_quarter,churn_90d,days_to_upgrade_filled,unique_features_count
user_0001,False,,,2023-11-25 00:00:00+00:00,2024-02-28 00:00:00+00:00,95,7,23.768571428571427,166.38,15.166666666666666,1,4,calendar_view,file_upload,True,3,,,2,57,False,False,2024Q1,False,-1.0,5
user_0002,True,2024-02-14 00:00:00+00:00,53.0,2023-12-23 00:00:00+00:00,2024-04-11 00:00:00+00:00,110,9,19.726666666666667,177.54,10.625,1,25,task_create,task_create,True,6,"comment,task_create,task_edit","comment,file_upload,task_create,task_edit",3,14,False,False,2024Q2,False,53.0,4
user_0003,False,,,2023-01-06 00:00:00+00:00,2023-03-24 00:00:00+00:00,77,10,16.156,161.56,11.0,0,9,task_create,calendar_view,True,5,,,3,398,True,True,2023Q1,True,-1.0,5
user_0004,True,2023-08-03 00:00:00+00:00,11.0,2023-07-23 00:00:00+00:00,2023-11-12 00:00:00+00:00,112,9,16.366666666666667,147.3,12.625,0,12,calendar_view,comment,True,4,,"calendar_view,comment,file_upload,task_edit",3,165,True,True,2023Q4,True,11.0,4
user_0005,False,,,2023-10-25 00:00:00+00:00,2023-12-20 00:00:00+00:00,56,11,13.095454545454546,144.05,7.3,0,32,calendar_view,calendar_view,True,4,,,4,127,True,True,2023Q4,True,-1.0,4
user_0006,False,,,2023-05-24 00:00:00+00:00,2023-08-28 00:00:00+00:00,96,9,18.371111111111112,165.34,13.375,0,6,calendar_view,file_upload,True,4,,,3,241,True,True,2023Q3,True,-1.0,5
user_0007,True,2023-08-28 00:00:00+00:00,48.0,2023-07-11 00:00:00+00:00,2023-11-09 00:00:00+00:00,121,7,29.021428571428572,203.15,13.166666666666666,1,10,task_create,calendar_view,True,3,"calendar_view,task_create,task_edit","calendar_view,comment,file_upload",2,168,True,True,2023Q4,True,48.0,5
user_0008,False,,,2023-11-04 00:00:00+00:00,2024-02-26 00:00:00+00:00,114,11,26.979090909090907,296.77,7.2,2,37,calendar_view,calendar_view,True,5,,,3,59,False,False,2024Q1,False,-1.0,5
user_0009,False,,,2023-09-08 00:00:00+00:00,2024-01-11 00:00:00+00:00,125,14,19.777142857142856,276.88,8.76923076923077,1,4,task_create,task_edit,True,10,,,4,105,True,False,2024Q1,True,-1.0,5
user_0010,True,2023-09-08 00:00:00+00:00,5.0,2023-09-03 00:00:00+00:00,2023-11-14 00:00:00+00:00,72,17,21.985294117647058,373.75,7.3125,0,3,task_create,comment,True,11,task_create,"calendar_view,comment,file_upload,task_create,task_edit",5,163,True,True,2023Q4,True,5.0,5
user_0011,True,2023-11-14 00:00:00+00:00,10.0,2023-11-04 00:00:00+00:00,2023-12-20 00:00:00+00:00,46,10,20.894,208.94,11.777777777777779,1,3,task_edit,file_upload,True,6,task_edit,"calendar_view,comment,file_upload,task_create,task_edit",3,127,True,True,2023Q4,True,10.0,5
user_0012,False,,,2023-01-10 00:00:00+00:00,2023-02-18 00:00:00+00:00,39,14,24.322857142857142,340.52,8.23076923076923,0,5,comment,comment,True,10,,,5,432,True,True,2023Q1,True,-1.0,5
user_0013,False,,,2023-01-10 00:00:00+00:00,2023-03-28 00:00:00+00:00,77,13,11.812307692307693,153.56,8.25,1,16,task_create,calendar_view,True,7,,,4,394,True,True,2023Q1,True,-1.0,5
user_0014,False,,,2023-12-11 00:00:00+00:00,2024-02-02 00:00:00+00:00,53,4,15.7225,62.89,26.666666666666668,0,9,comment,calendar_view,True,1,,,1,83,False,False,2024Q1,False,-1.0,3
user_0015,False,,,2023-10-23 00:00:00+00:00,2024-03-11 00:00:00+00:00,140,6,27.238333333333333,163.43,19.8,0,19,task_edit,comment,True,4,,,3,45,False,False,2024Q1,False,-1.0,3
user_0016,False,,,2023-10-19 00:00:00+00:00,2024-01-24 00:00:00+00:00,97,12,20.268333333333334,243.22,10.090909090909092,0,1,task_create,comment,True,8,,,4,92,True,False,2024Q1,True,-1.0,5
user_0017,False,,,2023-07-05 00:00:00+00:00,2023-10-21 00:00:00+00:00,108,7,19.740000000000002,138.18,19.0,1,6,calendar_view,file_upload,True,4,,,2,187,True,True,2023Q4,True,-1.0,5
user_0018,True,2023-09-09 00:00:00+00:00,14.0,2023-08-26 00:00:00+00:00,2023-10-18 00:00:00+00:00,53,11,21.19909090909091,233.19,11.9,1,0,task_create,task_edit,True,8,task_create,"calendar_view,comment,task_create,task_edit",3,190,True,True,2023Q4,True,14.0,4
user_0019,True,2023-10-27 00:00:00+00:00,18.0,2023-10-09 00:00:00+00:00,2023-11-12 00:00:00+00:00,34,5,15.538,77.69,26.75,0,10,task_edit,task_edit,True,2,task_edit,"file_upload,task_create,task_edit",1,165,True,True,2023Q4,True,18.0,3
user_0020,True,2023-11-11 00:00:00+00:00,54.0,2023-09-18 00:00:00+00:00,2023-10-18 00:00:00+00:00,30,8,34.88875,279.11,10.428571428571429,1,28,calendar_view,task_create,True,3,"calendar_view,task_create,task_edit","task_create,task_edit",2,190,True,True,2023Q4,True,54.0,3
user_0021,False,,,2023-02-11 00:00:00+00:00,2023-04-02 00:00:00+00:00,50,8,15.00875,120.07,13.714285714285714,0,6,comment,task_edit,True,6,,,2,389,True,True,2023Q2,True,-1.0,4
user_0022,False,,,2023-08-16 00:00:00+00:00,2023-11-28 00:00:00+00:00,104,8,28.475,227.8,16.285714285714285,0,3,task_create,file_upload,True,6,,,2,149,True,True,2023Q4,True,-1.0,5
user_0023,False,,,2023-03-13 00:00:00+00:00,2023-04-26 00:00:00+00:00,44,12,26.8875,322.65,9.454545454545455,0,14,task_create,calendar_view,True,7,,,3,365,True,True,2023Q2,True,-1.0,4
user_0024,False,,,2023-05-18 00:00:00+00:00,2023-09-13 00:00:00+00:00,118,6,12.475000000000001,74.85000000000001,12.2,0,56,calendar_view,file_upload,True,3,,,2,225,True,True,2023Q3,True,-1.0,4
user_0025,False,,,2023-01-25 00:00:00+00:00,2023-06-05 00:00:00+00:00,131,12,25.933333333333334,311.2,9.181818181818182,0,4,calendar_view,comment,True,8,,,5,325,True,True,2023Q2,True,-1.0,5
user_0026,True,2023-04-17 00:00:00+00:00,22.0,2023-03-26 00:00:00+00:00,2023-04-30 00:00:00+00:00,35,9,20.677777777777777,186.1,14.5,0,4,task_create,calendar_view,True,6,"file_upload,task_create","calendar_view,comment,file_upload,task_edit",2,361,True,True,2023Q2,True,22.0,5
user_0027,False,,,2023-02-22 00:00:00+00:00,2023-07-19 00:00:00+00:00,147,8,18.10125,144.81,15.571428571428571,0,10,task_create,comment,True,5,,,3,281,True,True,2023Q3,True,-1.0,5
user_0028,False,,,2023-05-12 00:00:00+00:00,2023-09-02 00:00:00+00:00,113,12,18.8275,225.93,9.636363636363637,0,12,task_edit,task_edit,True,5,,,3,236,True,True,2023Q3,True,-1.0,4
user_0029,False,,,2023-02-24 00:00:00+00:00,2023-07-13 00:00:00+00:00,139,6,21.093333333333334,126.56,17.4,0,9,file_upload,comment,True,3,,,1,287,True,True,2023Q3,True,-1.0,4
user_0030,True,2023-09-06 00:00:00+00:00,21.0,2023-08-16 00:00:00+00:00,2023-12-30 00:00:00+00:00,136,9,12.027777777777779,108.25,7.875,0,49,calendar_view,comment,True,5,,"calendar_view,comment,task_create,task_edit",3,117,True,False,2023Q4,True,21.0,4
user_0031,False,,,2023-04-16 00:00:00+00:00,2023-05-28 00:00:00+00:00,42,9,8.632222222222222,77.69,8.5,0,35,file_upload,calendar_view,True,4,,,4,333,True,True,2023Q2,True,-1.0,4
user_0032,False,,,2023-11-19 00:00:00+00:00,2023-12-19 00:00:00+00:00,30,15,22.184666666666665,332.77,6.285714285714286,2,19,comment,task_edit,True,8,,,5,128,True,True,2023Q4,True,-1.0,5
user_0033,False,,,2023-03-11 00:00:00+00:00,2023-05-25 00:00:00+00:00,75,10,20.195,201.95,12.0,0,9,calendar_view,comment,True,5,,,4,336,True,True,2023Q2,True,-1.0,4
user_0034,True,2023-09-10 00:00:00+00:00,28.0,2023-08-13 00:00:00+00:00,2023-10-28 00:00:00+00:00,76,6,11.666666666666666,70.0,13.0,0,26,calendar_view,calendar_view,True,3,calendar_view,"calendar_view,comment,file_upload,task_create,task_edit",1,180,True,True,2023Q4,True,28.0,5
user_0035,False,,,2023-10-12 00:00:00+00:00,2024-01-19 00:00:00+00:00,99,7,27.77857142857143,194.45,15.666666666666666,0,9,task_create,task_create,True,5,,,2,97,True,False,2024Q1,True,-1.0,5
user_0036,True,2023-05-13 00:00:00+00:00,6.0,2023-05-07 00:00:00+00:00,2023-07-04 00:00:00+00:00,58,12,8.188333333333334,98.26,9.909090909090908,0,7,comment,task_edit,True,8,,"calendar_view,comment,file_upload,task_create,task_edit",5,296,True,True,2023Q3,True,6.0,5
user_0037,True,2023-12-22 00:00:00+00:00,6.0,2023-12-16 00:00:00+00:00,2024-03-07 00:00:00+00:00,82,10,20.15,201.5,12.11111111111111,0,0,file_upload,file_upload,True,7,"calendar_view,file_upload","calendar_view,comment,file_upload,task_create,task_edit",4,49,False,False,2024Q1,False,6.0,5
user_0038,False,,,2023-05-11 00:00:00+00:00,2023-10-08 00:00:00+00:00,150,16,16.148125,258.37,7.0,1,6,task_create,task_create,True,10,,,4,200,True,True,2023Q4,True,-1.0,5
user_0039,False,,,2023-11-26 00:00:00+00:00,2024-01-27 00:00:00+00:00,62,9,30.04444444444444,270.4,13.75,0,0,file_upload,calendar_view,True,5,,,4,89,False,False,2024Q1,False,-1.0,5
user_0040,True,2023-08-02 00:00:00+00:00,38.0,2023-06-25 00:00:00+00:00,2023-08-12 00:00:00+00:00,48,11,20.67,227.37,10.8,0,11,file_upload,task_edit,True,7,file_upload,"calendar_view,comment,file_upload,task_create,task_edit",3,257,True,True,2023Q3,True,38.0,5
user_0041,False,,,2023-08-05 00:00:00+00:00,2023-09-15 00:00:00+00:00,41,9,12.377777777777778,111.4,11.875,1,10,file_upload,task_edit,True,6,,,3,223,True,True,2023Q3,True,-1.0,4
user_0042,False,,,2023-11-10 00:00:00+00:00,2024-01-18 00:00:00+00:00,69,11,11.97272727272727,131.7,11.5,0,1,calendar_view,calendar_view,True,3,,,3,98,True,False,2024Q1,True,-1.0,4
user_0043,True,2023-05-14 00:00:00+00:00,17.0,2023-04-27 00:00:00+00:00,2023-07-21 00:00:00+00:00,85,7,20.615714285714287,144.31,18.166666666666668,0,0,file_upload,calendar_view,True,2,"calendar_view,file_upload","calendar_view,task_create,task_edit",1,279,True,True,2023Q3,True,17.0,4
user_0044,True,2023-02-06 00:00:00+00:00,30.0,2023-01-07 00:00:00+00:00,2023-02-19 00:00:00+00:00,43,10,19.438,194.38,11.222222222222221,0,17,task_edit,task_create,True,7,"comment,task_edit","calendar_view,file_upload,task_create,task_edit",3,431,True,True,2023Q1,True,30.0,5
user_0045,True,2024-01-14 00:00:00+00:00,27.0,2023-12-18 00:00:00+00:00,2024-02-16 00:00:00+00:00,60,13,11.185384615384615,145.41,9.0,0,0,calendar_view,task_create,True,9,"calendar_view,comment,file_upload","calendar_view,comment,file_upload,task_create,task_edit",4,69,False,False,2024Q1,False,27.0,5
user_0046,True,2023-05-07 00:00:00+00:00,26.0,2023-04-11 00:00:00+00:00,2023-08-06 00:00:00+00:00,117,9,21.947777777777777,197.53,11.75,2,12,task_create,file_upload,True,5,task_create,"file_upload,task_create,task_edit",3,263,True,True,2023Q3,True,26.0,3
user_0047,False,,,2023-04-10 00:00:00+00:00,2023-05-17 00:00:00+00:00,37,11,16.346363636363638,179.81,10.4,1,9,task_create,task_edit,True,6,,,3,344,True,True,2023Q2,True,-1.0,5
